SALESORDERID,CREATEDAT,CHANGEDAT,CUSTOMERID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000000,2014-01-01,2014-01-15,100000000,26581.03,22337,4244.03,X,I,I
500000001,2014-01-02,2014-01-16,100000002,9417.66,7914,1503.66,N,I,I
500000002,2014-01-03,2014-01-17,100000005,5631.08,4732,899.08,P,I,D
500000003,2014-01-04,2014-01-18,100000006,1405.39,1181,224.39,N,I,I
500000004,2014-01-05,2014-01-19,100000006,761.24,639.7,121.54,C,P,D
500000005,2014-01-06,2014-01-20,100000008,101299.22,85125.4,16173.82,X,I,I
500000006,2014-01-07,2014-01-21,100000003,250.73,210.7,40.03,X,I,I
500000007,2014-01-08,2014-01-22,100000004,10549.35,8865,1684.35,C,P,D
500000008,2014-01-09,2014-01-23,100000009,195.16,164,31.16,X,I,I
500000009,2014-01-10,2014-01-24,100000000,3972.22,3338,634.22,P,P,I
500000010,2014-01-11,2014-01-25,100000002,3598.92,3024.3,574.62,N,I,I
500000011,2014-01-12,2014-01-26,100000004,325.94,273.9,52.04,P,P,I
500000012,2014-01-13,2014-01-27,100000005,24395,20500,3895,P,I,D
500000013,2014-01-14,2014-01-28,100000006,5527.55,4645,882.55,P,I,D
500000014,2014-01-15,2014-01-29,100000006,3459.33,2907,552.33,P,I,I
500000015,2014-01-16,2014-01-30,100000008,852.04,716,136.04,X,I,I
500000016,2014-01-17,2014-01-31,100000004,1916.5,1610.5,306,N,I,I
500000017,2014-01-18,2014-02-01,100000005,178.14,149.7,28.44,P,P,D
500000018,2014-01-19,2014-02-02,100000002,871.55,732.4,139.15,C,P,D
500000019,2014-01-20,2014-02-03,100000009,1028.15,864,164.15,N,I,I
500000020,2014-01-21,2014-02-04,100000000,5523.38,4641.5,881.88,N,I,I
500000021,2014-01-22,2014-02-05,100000002,187.54,157.6,29.94,P,P,D
500000022,2014-01-23,2014-02-06,100000006,521.22,438,83.22,N,I,I
500000023,2014-01-24,2014-02-07,100000008,411.5,345.8,65.7,C,P,D
500000024,2014-01-25,2014-02-08,100000005,11552.52,9708,1844.52,P,P,D
500000025,2014-01-26,2014-02-09,100000003,26581.03,22337,4244.03,C,P,D
500000026,2014-01-27,2014-02-10,100000003,9417.66,7914,1503.66,N,I,I
500000027,2014-01-28,2014-02-11,100000003,5631.08,4732,899.08,C,P,D
500000028,2014-01-29,2014-02-12,100000008,1405.39,1181,224.39,C,P,D
500000029,2014-01-30,2014-02-13,100000004,761.24,639.7,121.54,N,I,I
500000030,2014-01-31,2014-02-14,100000006,101299.22,85125.4,16173.82,P,I,D
500000031,2014-02-01,2014-02-15,100000004,250.73,210.7,40.03,C,P,D
500000032,2014-02-02,2014-02-16,100000006,10549.35,8865,1684.35,N,I,I
500000033,2014-02-03,2014-02-17,100000009,195.16,164,31.16,N,I,I
500000034,2014-02-04,2014-02-18,100000000,107100,90000,17100,N,I,I
500000035,2014-02-05,2014-02-19,100000002,4415.73,3710.7,705.03,P,P,I
500000036,2014-02-06,2014-02-20,100000003,325.94,273.9,52.04,X,I,I
500000037,2014-02-07,2014-02-21,100000005,24220.07,20353,3867.07,P,P,D
500000038,2014-02-08,2014-02-22,100000006,4499.87,3781.4,718.47,C,P,D
500000039,2014-02-09,2014-02-23,100000006,2727.24,2291.8,435.44,C,P,D
500000040,2014-02-10,2014-02-24,100000008,530.62,445.9,84.72,N,I,I
500000041,2014-02-11,2014-02-25,100000004,803.25,675,128.25,C,P,D
500000042,2014-02-12,2014-02-26,100000002,178.14,149.7,28.44,X,I,I
500000043,2014-02-13,2014-02-27,100000005,871.55,732.4,139.15,P,P,D
500000044,2014-02-14,2014-02-28,100000009,6543.8,5499,1044.8,C,P,D
500000045,2014-02-15,2014-02-28,100000000,113032.74,94985.5,18047.24,C,P,D
500000046,2014-02-16,2014-03-01,100000002,114.24,96,18.24,X,I,I
500000047,2014-02-17,2014-03-02,100000008,521.22,438,83.22,C,P,D
500000048,2014-02-18,2014-03-03,100000006,411.5,345.8,65.7,C,P,D
500000049,2014-02-19,2014-03-04,100000005,11379.97,9563,1816.97,N,I,I
500000050,2014-02-20,2014-03-05,100000026,26581.03,22337,4244.03,N,I,I
500000051,2014-02-21,2014-03-06,100000025,9417.66,7914,1503.66,C,P,D
500000052,2014-02-22,2014-03-07,100000022,5631.08,4732,899.08,X,I,I
500000053,2014-02-23,2014-03-08,100000024,1405.39,1181,224.39,C,P,D
500000054,2014-02-24,2014-03-09,100000024,761.24,639.7,121.54,P,I,I
500000055,2014-02-25,2014-03-10,100000021,101299.22,85125.4,16173.82,C,P,D
500000056,2014-02-26,2014-03-11,100000023,250.73,210.7,40.03,C,P,D
500000057,2014-02-27,2014-03-12,100000019,10549.35,8865,1684.35,N,I,I
500000058,2014-02-28,2014-03-13,100000026,195.16,164,31.16,X,I,I
500000059,2014-02-28,2014-03-14,100000026,3972.22,3338,634.22,P,I,D
500000060,2014-03-01,2014-03-15,100000025,3598.92,3024.3,574.62,P,P,I
500000061,2014-03-02,2014-03-16,100000019,325.94,273.9,52.04,C,P,D
500000062,2014-03-03,2014-03-17,100000022,24395,20500,3895,N,I,I
500000063,2014-03-04,2014-03-18,100000024,5527.55,4645,882.55,P,I,D
500000064,2014-03-05,2014-03-19,100000024,3459.33,2907,552.33,N,I,I
500000065,2014-03-06,2014-03-20,100000021,852.04,716,136.04,C,P,D
500000066,2014-03-07,2014-03-21,100000019,1916.5,1610.5,306,N,I,I
500000067,2014-03-08,2014-03-22,100000022,178.14,149.7,28.44,C,P,D
500000068,2014-03-09,2014-03-23,100000025,871.55,732.4,139.15,P,P,I
500000069,2014-03-10,2014-03-24,100000026,1028.15,864,164.15,N,I,I
500000070,2014-03-11,2014-03-25,100000026,5523.38,4641.5,881.88,X,I,I
500000071,2014-03-12,2014-03-26,100000025,187.54,157.6,29.94,N,I,I
500000072,2014-03-13,2014-03-27,100000024,521.22,438,83.22,N,I,I
500000073,2014-03-14,2014-03-28,100000021,411.5,345.8,65.7,N,I,I
500000074,2014-03-15,2014-03-29,100000022,11552.52,9708,1844.52,C,P,D
500000075,2014-03-16,2014-03-30,100000023,26581.03,22337,4244.03,X,I,I
500000076,2014-03-17,2014-03-31,100000023,9417.66,7914,1503.66,P,I,D
500000077,2014-03-18,2014-04-01,100000023,5631.08,4732,899.08,C,P,D
500000078,2014-03-19,2014-04-02,100000021,1405.39,1181,224.39,C,P,D
500000079,2014-03-20,2014-04-03,100000019,761.24,639.7,121.54,N,I,I
500000080,2014-03-21,2014-04-04,100000024,101299.22,85125.4,16173.82,P,I,D
500000081,2014-03-22,2014-04-05,100000019,250.73,210.7,40.03,C,P,D
500000082,2014-03-23,2014-04-06,100000024,10549.35,8865,1684.35,N,I,I
500000083,2014-03-24,2014-04-07,100000026,195.16,164,31.16,C,P,D
500000084,2014-03-25,2014-04-08,100000026,107100,90000,17100,C,P,D
500000085,2014-03-26,2014-04-09,100000025,4415.73,3710.7,705.03,X,I,I
500000086,2014-03-27,2014-04-10,100000023,325.94,273.9,52.04,C,P,D
500000087,2014-03-28,2014-04-11,100000022,24220.07,20353,3867.07,X,I,I
500000088,2014-03-29,2014-04-12,100000024,4499.87,3781.4,718.47,P,I,D
500000089,2014-03-30,2014-04-13,100000024,2727.24,2291.8,435.44,N,I,I
500000090,2014-03-31,2014-04-14,100000021,530.62,445.9,84.72,N,I,I
500000091,2014-04-01,2014-04-15,100000019,803.25,675,128.25,N,I,I
500000092,2014-04-02,2014-04-16,100000025,178.14,149.7,28.44,X,I,I
500000093,2014-04-03,2014-04-17,100000022,871.55,732.4,139.15,X,I,I
500000094,2014-04-04,2014-04-18,100000026,6543.8,5499,1044.8,C,P,D
500000095,2014-04-05,2014-04-19,100000026,113032.74,94985.5,18047.24,X,I,I
